Titlu,Numar_Autori,Autori_Deputati
"Proiectul de lege pentru modificarea Legii nr.45/2007 cu privire la prevenirea și combaterea violenței în familie (art.7, 8, 10)",2,"Alina DANDARA, Doina GHERMAN"
Proiectul de lege pentru modificarea art. 6 din Codul fiscal nr. 1163/1997,2,"Dorian ISTRATII, Radu MARIAN"
Proiectul de lege privind modul de aplicare a facilităților fiscale și vamale la importul și/sau livrările de mărfuri și/sau servicii destinate implementării programului ”Credite pentru conservarea energiei” finanțat și implementat de Corporația Financiară Nordică de Mediu (NEFCO),2,"Ina COȘERU, Radu MARIAN"
"Proiectul de lege cu privire la acordarea facilităților fiscale și vamale la importul și livrările de mărfuri (bunuri, lucrări, servicii) destinate implementării proiectului „Sistemul termoenergetic al mun. Bălți (SA„CET-Nord”) - Faza II”",2,"Boris MARCOCI, Radu MARIAN"
"Proiectul de lege pentru modificarea unor acte normative (Codul Transporturilor Rutiere nr. 150/2014 – art.5, 45, 80, ș.a.; Codul Contravențional nr. 218/2008 – art.197)",2,"Alexandr TRUBCA, Marina MOROZOVA"
Proiectul de hotărâre privind numirea în funcția de Avocat al Poporului pentru drepturile copilului,2,"Ana CALINICI, Veronica ROȘCA"
"Proiectul de lege pentru modificarea Legii nr.215/2016 cu privire la tineret (art.2, 4, 5, ș.a.)",2,"Alina DANDARA, Eugeniu SINCHEVICI"
Proiectul legii vânătorii și a protecției fondului cinegetic,2,"Ina COȘERU, Larisa VOLOH"
Proiectul de lege pentru modificarea unor acte normative (implementarea unor considerente conținute în Hotărârea Curții Constituționale nr.10/2023 privind controlul constituționalității Partidului Politic „Șor”),2,"Alina DANDARA, Olesea STAMATE"
"Proiectul de lege pentru modificarea și completarea Legii nr.131/2015 privind achizițiile publice (art.78, 82, 82`1, ș.a.)",2,"Ersilia QATRAWI, Sergiu LAZARENCU"
"Proiectul de lege pentru modificarea Codului serviciilor media audiovizuale al Republicii Moldova nr.174/2018 (art.1, 4, 15, ș.a.)",2,"Liliana NICOLAESCU-ONOFREI, Marcela ADAM"
Proiectul de lege pentru modificarea Codului Penal al RM nr.985 din 18.04.2002 (art.257),2,"Alexandr TRUBCA, Vasile GRĂDINARU"
Proiectul de lege cu privire la interpretarea unor norme din Legea nr.26/2022 privind unele măsuri aferente selectării candidaţilor la funcţia de membru în organele de autoadministrare ale judecătorilor şi procurorilor și Legea nr. 65/2023 privind evaluarea externă a judecătorilor și a candidaților la funcția de judecător al Curții Supreme de Justiție,2,"Artemie CĂTĂNOI, Veronica ROȘCA"
Proiectul de hotărâre pentru modificarea Hotărârii Parlamentului nr.84/2021 privind componența numerică și nominală a Biroului permanent al Parlamentului,2,"Igor GROSU, Veronica ROȘCA"
"Proiectul de lege pentru modificarea unor acte normative (Legea nr.457/2003 pentru aprobarea Regulamentului-cadru privind constituirea şi funcționarea consiliilor locale şi raionale – anexa, art.45, ș.a.; Legea nr.436/2006 privind administrația publică locală – art.17, 19, 22; Legea nr.136/2016 privind statutul municipiului Chișinău – art.7, 10)",2,"Alina DANDARA, Victor SPÎNU"
Proiectul de lege pentru abrogarea articolului 108 din Legea cooperației de consum nr.1252/2000,2,"Larisa VOLOH, Maria GONȚA"
"Proiectul de lege pentru modificarea Legii securității statului nr.618/1995 (art.4, 10)",2,"Andrian CHEPTONAR, Ion ȘPAC"
Proiectul de lege privind protecția animalelor,2,"Angela MUNTEANU-POJOGA, Evghenia COJOCARI"
Proiectul de lege privind importul echipamentului sportiv,2,"Dorian ISTRATII, Eugeniu SINCHEVICI"
"Proiectul de lege pentru modificarea Legii nr.436/2006 privind administrația publică locală (art.43, 49)",2,"Artemie CĂTĂNOI, Larisa VOLOH"
Proiectul de lege privind modificarea anexei la Legea nr.668/1995 pentru aprobarea Listei unităților ale căror terenuri destinate agriculturii rămân în proprietatea statului,2,"Alexandr TRUBCA, Larisa VOLOH"
Proiectul de hotărâre pentru modificarea unor acte normative (Hotărârea Parlamentului nr. 72/2019 privind domeniile de activitate ale comisiilor permanente ale Parlamentului – art.1; Hotărârea Parlamentului nr. 85/2021 privind înființarea comisiilor permanente ale Parlamentului și componența lor numerică – art.1; ș.a.),2,"Ina COȘERU, Mariana CUȘNIR"
"Proiectul de lege cu privire la modificarea Legii nr.489/1999 privind sistemul public de asigurări sociale (art.4, 5, 17, 20)",2,"Marina MOROZOVA, Radu MARIAN"
"Proiectul de lege cu privire la interpretarea articolelor 45-49, 51 din Legea nr. 202/2017 privind activitatea băncilor",2,"Olesea STAMATE, Radu MARIAN"
